排名,FIFA代码,中文名,英文名,小组,国旗,Elo评分,实力分(0-100),近5场得分,近5场净胜
1,ESP,西班牙,Spain,H,🇪🇸,2010,100.0,,
2,FRA,法国,France,I,🇫🇷,2009,99.8,,
3,ENG,英格兰,England,L,🏴󠁧󠁢󠁥󠁮󠁧󠁿,1993,97.2,,
4,ARG,阿根廷,Argentina,J,🇦🇷,1976,94.4,,
5,BRA,巴西,Brazil,C,🇧🇷,1955,91.0,,
6,POR,葡萄牙,Portugal,K,🇵🇹,1945,89.3,,
7,GER,德国,Germany,E,🇩🇪,1926,86.2,,
8,ITA,ITA,,,,1901,82.1,,
9,NED,荷兰,Netherlands,F,🇳🇱,1894,81.0,,
10,NOR,挪威,Norway,I,🇳🇴,1880,78.7,,
11,BEL,比利时,Belgium,G,🇧🇪,1878,78.4,,
12,COL,哥伦比亚,Colombia,K,🇨🇴,1878,78.4,,
13,MAR,摩洛哥,Morocco,C,🇲🇦,1874,77.7,,
14,CRO,克罗地亚,Croatia,L,🇭🇷,1852,74.1,,
15,SEN,塞内加尔,Senegal,I,🇸🇳,1848,73.4,,
16,MEX,墨西哥,Mexico,A,🇲🇽,1834,71.1,3,2
17,URU,乌拉圭,Uruguay,H,🇺🇾,1831,70.7,,
18,ECU,厄瓜多尔,Ecuador,E,🇪🇨,1829,70.3,,
19,USA,美国,United States,D,🇺🇸,1826,69.8,,
20,JPN,日本,Japan,F,🇯🇵,1825,69.7,,
21,SUI,瑞士,Switzerland,B,🇨🇭,1812,67.5,,
22,DEN,DEN,,,,1795,64.8,,
23,AUS,澳大利亚,Australia,D,🇦🇺,1772,61.0,,
24,KOR,韩国,South Korea,A,🇰🇷,1760,59.0,3,1
25,SWE,瑞典,Sweden,F,🇸🇪,1752,57.7,,
26,IRN,伊朗,Iran,G,🇮🇷,1747,56.9,,
27,CAN,加拿大,Canada,B,🇨🇦,1740,55.7,,
28,CIV,科特迪瓦,Ivory Coast,E,🇨🇮,1732,54.4,,
29,POL,POL,,,,1731,54.3,,
30,TUR,土耳其,Turkey,D,🇹🇷,1731,54.3,,
31,AUT,奥地利,Austria,J,🇦🇹,1718,52.1,,
32,SRB,SRB,,,,1714,51.5,,
33,ALG,阿尔及利亚,Algeria,J,🇩🇿,1704,49.8,,
34,EGY,埃及,Egypt,G,🇪🇬,1695,48.4,,
35,WAL,WAL,,,,1688,47.2,,
36,PAR,巴拉圭,Paraguay,D,🇵🇾,1681,46.1,,
37,TUN,突尼斯,Tunisia,F,🇹🇳,1680,45.9,,
38,NGA,NGA,,,,1671,44.4,,
39,SCO,苏格兰,Scotland,C,🏴󠁧󠁢󠁳󠁣󠁴󠁿,1663,43.1,,
40,GHA,加纳,Ghana,L,🇬🇭,1659,42.5,,
41,KSA,沙特阿拉伯,Saudi Arabia,H,🇸🇦,1657,42.1,,
42,CZE,捷克,Czech Republic,A,🇨🇿,1651,41.1,0,-1
43,COD,民主刚果,DR Congo,K,🇨🇩,1650,41.0,,
44,CMR,CMR,,,,1633,38.2,,
45,UZB,乌兹别克斯坦,Uzbekistan,K,🇺🇿,1633,38.2,,
46,VEN,VEN,,,,1625,36.9,,
47,CHI,CHI,,,,1616,35.4,,
48,PAN,巴拿马,Panama,L,🇵🇦,1615,35.2,,
49,PER,PER,,,,1612,34.8,,
50,BIH,波黑,Bosnia & Herzegovina,B,🇧🇦,1602,33.1,,
51,IRQ,伊拉克,Iraq,I,🇮🇶,1599,32.6,,
52,CPV,佛得角,Cape Verde,H,🇨🇻,1599,32.6,,
53,QAT,卡塔尔,Qatar,B,🇶🇦,1592,31.5,,
54,RSA,南非,South Africa,A,🇿🇦,1591,31.3,0,-2
55,NZL,新西兰,New Zealand,G,🇳🇿,1591,31.3,,
56,JOR,约旦,Jordan,J,🇯🇴,1548,24.3,,
57,CUW,库拉索,Curacao,E,🇨🇼,1548,24.3,,
58,HAI,海地,Haiti,C,🇭🇹,1537,22.5,,
59,JAM,JAM,,,,1514,18.7,,
60,HON,HON,,,,1497,15.9,,
61,SLV,SLV,,,,1438,6.2,,
62,TRI,TRI,,,,1429,4.8,,
63,GUA,GUA,,,,1416,2.6,,
